Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Sector,City / Location,Investor 1,Investor 2,Investor 3,Investment Type,Amount (in USD),Founding Date,Remarks
68,12-02-2018,Lendingkart,Lending/Credit,Bengaluru,Fullerton Financial Holdings,,,Private Equity,87000000,2014,
69,16-02-2018,happay,Business Financial Tools,Bengaluru,Sequoia India,Jerry Yang,,Seed / Angel Funding,250000,2012,
70,16-02-2018,Fincash,Investments/Wealth Management,Mumbai,Mohammed Khan, Sameer Narayan & Others,,Seed / Angel Funding,150000,2016,
71,19-02-2018,AyeFinance,Lending/Credit,Gurugram,Hinduja Leyland Finance, IntelleGrow,,Private Equity,3800000,2014,
72,04-01-2018,EarlySalary,Lending/Credit,Pune,Eight Roads Ventures India,,,Private Equity,15700000,2015,
73,09-01-2018,Lendingkart,Lending/Credit,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,,,Debt Funding,4700000,2014,
74,10-01-2018,Samunnati,Lending/Credit,Chennai,Responsibility Investment, Elevar Equity,Accel Partners,Private Equity,23500000,2014,
75,15-01-2018,pi Ventures,Investments/Wealth Management,Bengaluru,Sunil Kant Munjal, Hero Electronix’s corporate financing arm, Electronic Development Fund,Private Equity,25000000,2016,
76,22-01-2018,OptaCredit,Lending/Credit,Chennai,DMI Finance,,,Private Equity,4000000,2017,
77,24-01-2018,NeoGrowth Credit,Lending/Credit,Mumbai,LeapFrog Investments, Aspada Investment, Quona Capital,Private Equity,47000000,2011,
78,24-01-2018,Aye Finance,Lending/Credit,Gurugram,IFMR Capital,,,Term Loan,6240000,2014,
79,10-07-2018,Kinara Capital,Lending/Credit,Bengaluru,Responsibility Investment,,,Private Equity,5000000,2011,
80,17-07-2018,Ofbusiness,Lending/Credit,Gurugram,Creation Investments, Falcon Edge, Matrix Partners India,Private Equity,29000000,2016,
